time,training_accuracy,training_loss,test_accuracy,test_loss
2025-07-24 00:05:14.224598,92.15,-0.9169,90.54,-0.9015
2025-07-24 00:08:11.548320,85.45,-0.8513,84.56,-0.8429
2025-07-24 00:10:14.725159,92.2,-0.919,90.63,-0.9029
2025-07-24 00:11:25.177445,92.93,-0.9265,91.12,-0.9099
2025-07-24 00:12:27.897981,92.98,-0.9253,91.19,-0.9083
2025-07-24 00:13:30.303488,92.62,-0.9237,90.99,-0.9083
2025-07-24 00:14:27.716134,92.97,-0.9249,91.03,-0.908
2025-07-24 00:15:25.753113,85.53,-0.853,84.23,-0.8423
2025-07-24 00:16:23.621871,85.07,-0.8476,84.16,-0.8381
2025-07-24 00:17:20.452622,85.55,-0.8542,84.54,-0.8438
2025-07-24 00:18:15.939559,85.23,-0.8494,84.47,-0.8413
2025-07-24 00:19:13.589837,85.37,-0.8516,84.31,-0.8403
2025-07-24 00:20:16.253092,85.17,-0.8504,84.1,-0.8394
2025-07-24 00:21:18.824797,86.1,-0.8598,85.12,-0.8504
2025-07-24 00:22:16.704568,85.83,-0.8556,84.46,-0.8435
2025-07-24 00:23:19.131191,85.92,-0.8573,85.11,-0.8491
2025-07-24 00:24:16.837848,85.68,-0.854,84.74,-0.8437
2025-07-24 00:25:15.653419,85.6,-0.8535,84.55,-0.8441
2025-07-24 00:26:13.833090,85.95,-0.8562,84.73,-0.8452
2025-07-24 00:27:11.417392,85.58,-0.8549,84.62,-0.8432
2025-07-24 00:28:08.893043,85.77,-0.855,84.48,-0.8432
2025-07-24 00:29:06.571394,85.62,-0.8545,84.44,-0.8427
2025-07-24 00:30:04.440520,92.82,-0.9256,91.0,-0.9086
2025-07-24 00:31:02.261908,85.65,-0.8549,84.3,-0.8414
2025-07-24 00:32:00.261981,92.47,-0.9214,91.43,-0.91
2025-07-24 00:32:57.771104,85.35,-0.8518,84.22,-0.8403
2025-07-24 00:34:00.199575,86.05,-0.8597,84.85,-0.8476
2025-07-24 00:34:58.168931,92.3,-0.921,91.02,-0.9086
2025-07-24 00:36:00.471924,93.12,-0.9293,91.58,-0.9145
2025-07-24 00:36:58.002540,92.88,-0.9263,91.14,-0.9086
2025-07-24 00:38:00.393618,93.08,-0.9291,91.04,-0.9098
2025-07-24 00:38:58.285404,92.72,-0.9247,91.22,-0.91
2025-07-24 00:40:00.782653,93.23,-0.9311,91.77,-0.9162
2025-07-24 00:40:58.544146,85.58,-0.8539,84.39,-0.8421
2025-07-24 00:42:00.977454,85.92,-0.8587,85.01,-0.8487
2025-07-24 00:42:58.749046,92.37,-0.9203,90.58,-0.9034
2025-07-24 00:44:01.071282,93.0,-0.9284,91.63,-0.9152
2025-07-24 00:44:58.798116,85.72,-0.8548,84.84,-0.8461
2025-07-24 00:45:56.522216,85.55,-0.8525,84.42,-0.8425
2025-07-24 00:46:58.785367,85.8,-0.8564,84.94,-0.8468
2025-07-24 00:47:56.476271,85.43,-0.8519,84.81,-0.8438
2025-07-24 00:48:54.259263,92.72,-0.9239,90.81,-0.9066
2025-07-24 00:49:52.045415,85.82,-0.8558,84.89,-0.8465
2025-07-24 00:50:49.627883,85.22,-0.849,84.31,-0.8386
2025-07-24 00:51:51.976426,86.07,-0.8589,84.9,-0.8479
2025-07-24 00:52:49.461777,85.87,-0.856,84.88,-0.8464
2025-07-24 00:53:46.936335,92.92,-0.9262,91.35,-0.9096
2025-07-24 00:54:44.747192,85.05,-0.848,83.82,-0.8354
2025-07-24 00:55:46.861747,85.52,-0.8542,84.55,-0.845
2025-07-24 00:56:44.843855,92.93,-0.9282,91.55,-0.9129
2025-07-24 00:57:47.720865,93.22,-0.9299,91.43,-0.9125
2025-07-24 00:58:45.369944,85.12,-0.8499,84.16,-0.8394
2025-07-24 00:59:43.195248,91.63,-0.9144,90.52,-0.9027
2025-07-24 01:00:41.307900,92.6,-0.9226,91.05,-0.9082
2025-07-24 01:01:43.867581,92.6,-0.925,91.48,-0.9124
2025-07-24 01:02:41.841630,92.73,-0.9252,91.24,-0.9091
2025-07-24 01:03:39.868673,85.32,-0.8522,84.43,-0.8416
2025-07-24 01:04:37.768441,85.52,-0.853,84.17,-0.8398
2025-07-24 01:05:40.576907,85.03,-0.8479,83.9,-0.8374
2025-07-24 01:06:38.374116,92.95,-0.9265,91.27,-0.9115
2025-07-24 01:07:36.723987,85.18,-0.8494,84.06,-0.8377
2025-07-24 01:08:47.987428,85.57,-0.8547,84.4,-0.8429
2025-07-24 01:09:45.965588,92.73,-0.9246,91.14,-0.9084
2025-07-24 01:10:44.029541,85.67,-0.8551,84.91,-0.8465
2025-07-24 01:11:42.873798,85.53,-0.8533,84.59,-0.8439
